               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 126,            0.034445,           0.0094401,           0.0041888,             0.97978,                   1,               0.995,             0.50232,            0.037927,           0.0066128,           0.0037635,           0.0038125,           0.0038125,           0.0038125
                 127,            0.042691,           0.0092247,           0.0038743,             0.98298,                   1,               0.995,             0.69394,            0.022432,           0.0064512,           0.0037833,            0.003763,            0.003763,            0.003763
                 128,            0.029502,           0.0091596,           0.0042969,             0.98298,                   1,               0.995,             0.69394,            0.022432,           0.0064512,           0.0037833,           0.0037135,           0.0037135,           0.0037135
                 129,            0.030144,           0.0091329,           0.0038751,             0.98453,                   1,               0.995,              0.7749,            0.026104,           0.0064564,           0.0037639,            0.003664,            0.003664,            0.003664
                 130,             0.03247,           0.0090633,           0.0041152,              0.9606,                   1,               0.995,             0.66334,            0.027374,           0.0064047,           0.0037067,           0.0036145,           0.0036145,           0.0036145
                 131,            0.034237,            0.011004,           0.0040019,             0.98036,                   1,               0.995,             0.66966,             0.02535,           0.0063123,           0.0036414,            0.003565,            0.003565,            0.003565
                 132,            0.029352,            0.010087,           0.0036698,             0.98036,                   1,               0.995,             0.66966,             0.02535,           0.0063123,           0.0036414,           0.0035155,           0.0035155,           0.0035155
                 133,            0.029802,           0.0088661,           0.0039919,             0.95652,                   1,               0.995,             0.71282,            0.023286,           0.0062811,           0.0036086,            0.003466,            0.003466,            0.003466
                 134,            0.030709,            0.009567,           0.0040542,             0.94003,                   1,               0.995,             0.64749,            0.029151,           0.0061841,           0.0035351,           0.0034165,           0.0034165,           0.0034165
                 135,            0.035987,            0.010797,           0.0038626,             0.98265,                   1,               0.995,             0.76665,            0.025884,           0.0062844,           0.0034955,            0.003367,            0.003367,            0.003367
                 136,            0.031478,           0.0093892,           0.0039531,             0.98265,                   1,               0.995,             0.76665,            0.025884,           0.0062844,           0.0034955,           0.0033175,           0.0033175,           0.0033175
                 137,            0.031804,           0.0091293,           0.0040427,             0.98482,                   1,               0.995,             0.65442,            0.026921,           0.0063283,           0.0034968,            0.003268,            0.003268,            0.003268
                 138,            0.029818,           0.0086093,           0.0040194,             0.89374,                   1,               0.995,             0.71601,            0.025532,           0.0061326,            0.003415,           0.0032185,           0.0032185,           0.0032185
                 139,            0.031032,           0.0070984,           0.0036774,             0.98605,                   1,               0.995,             0.71156,            0.025622,           0.0061463,           0.0034512,            0.003169,            0.003169,            0.003169
                 140,            0.029355,           0.0090101,           0.0036433,             0.98605,                   1,               0.995,             0.71156,            0.025622,           0.0061463,           0.0034512,           0.0031195,           0.0031195,           0.0031195
                 141,            0.029076,           0.0078873,           0.0039453,             0.98653,                   1,               0.995,             0.80977,            0.022451,           0.0061516,           0.0034208,             0.00307,             0.00307,             0.00307
                 142,            0.027583,           0.0087192,            0.003677,             0.98863,                   1,               0.995,             0.60696,            0.026938,           0.0063041,           0.0034358,           0.0030205,           0.0030205,           0.0030205
                 143,            0.031679,           0.0092315,           0.0042391,             0.99005,                   1,               0.995,             0.76191,            0.022552,             0.00608,           0.0034163,            0.002971,            0.002971,            0.002971
                 144,            0.027212,           0.0091983,           0.0038029,             0.99005,                   1,               0.995,             0.76191,            0.022552,             0.00608,           0.0034163,           0.0029215,           0.0029215,           0.0029215
                 145,            0.027405,           0.0090608,           0.0038284,             0.98966,                   1,               0.995,             0.75155,             0.02327,           0.0061078,            0.003394,            0.002872,            0.002872,            0.002872
                 146,            0.027454,           0.0088549,           0.0038646,             0.99096,                   1,               0.995,             0.69075,            0.025332,           0.0061001,           0.0033968,           0.0028225,           0.0028225,           0.0028225
                 147,            0.029118,           0.0096846,           0.0038859,             0.99097,                   1,               0.995,             0.78593,            0.021483,           0.0060583,           0.0034081,            0.002773,            0.002773,            0.002773
